"","Date","num_day","num_ind","num_dir","percent_ind"
"180","1/15/2005",57,3,54,5.55555555555556
"181","1/15/2006",130,7,123,5.69105691056911
"182","1/15/2007",77,1,76,1.31578947368421
"183","1/15/2008",75,0,75,0
"184","1/15/2009",68,5,63,7.93650793650794
"185","1/15/2010",50,3,47,6.38297872340426
"186","1/15/2011",57,2,55,3.63636363636364
"187","1/15/2012",128,3,125,2.4
"188","1/15/2013",70,0,70,0
"189","1/15/2014",69,0,69,0
"190","1/15/2015",68,4,64,6.25
"191","1/15/2016",59,6,53,11.3207547169811
"192","1/15/2017",124,4,120,3.33333333333333
"193","1/15/2018",71,3,68,4.41176470588235
"194","1/15/2019",64,3,61,4.91803278688525
"195","1/15/2020",76,1,75,1.33333333333333
"196","1/15/2021",61,6,55,10.9090909090909
"197","1/16/1994",127,2,125,1.6
"198","1/16/1995",72,1,71,1.40845070422535
"199","1/16/1996",73,1,72,1.38888888888889
"200","1/16/1997",69,2,67,2.98507462686567
"201","1/16/1998",62,3,59,5.08474576271187
"202","1/16/1999",66,2,64,3.125
"203","1/16/2000",126,3,123,2.4390243902439
"204","1/16/2001",79,0,79,0
"205","1/16/2002",72,0,72,0
"206","1/16/2003",73,2,71,2.8169014084507
"207","1/16/2004",62,3,59,5.08474576271187
"208","1/16/2005",123,1,122,0.819672131147541
"209","1/16/2006",71,0,71,0
"210","1/16/2007",73,2,71,2.8169014084507
"211","1/16/2008",69,3,66,4.54545454545455
"212","1/16/2009",62,4,58,6.89655172413793
"213","1/16/2010",60,4,56,7.14285714285714
"214","1/16/2011",125,7,118,5.93220338983051
"215","1/16/2012",73,0,73,0
"216","1/16/2013",74,1,73,1.36986301369863
"217","1/16/2014",73,4,69,5.79710144927536
"218","1/16/2015",61,4,57,7.01754385964912
"219","1/16/2016",62,7,55,12.7272727272727
"220","1/16/2017",72,0,72,0
"221","1/16/2018",75,2,73,2.73972602739726
"222","1/16/2019",67,0,67,0
"223","1/16/2020",73,4,69,5.79710144927536
"224","1/16/2021",51,4,47,8.51063829787234
"225","1/17/1994",70,5,65,7.69230769230769
"226","1/17/1995",75,0,75,0
"227","1/17/1996",71,1,70,1.42857142857143
"228","1/17/1997",58,4,54,7.40740740740741
"229","1/17/1998",66,5,61,8.19672131147541
"230","1/17/1999",134,7,127,5.51181102362205
"231","1/17/2000",72,0,72,0
"232","1/17/2001",73,2,71,2.8169014084507
"233","1/17/2002",67,5,62,8.06451612903226
"234","1/17/2003",60,0,60,0
"235","1/17/2004",57,2,55,3.63636363636364
"236","1/17/2005",74,0,74,0
"237","1/17/2006",71,0,71,0
"238","1/17/2007",72,4,68,5.88235294117647
"239","1/17/2008",76,2,74,2.7027027027027
"240","1/17/2009",63,1,62,1.61290322580645
"241","1/17/2010",130,2,128,1.5625
"242","1/17/2011",65,0,65,0
"243","1/17/2012",77,0,77,0
"244","1/17/2013",62,5,57,8.7719298245614
"245","1/17/2014",53,6,47,12.7659574468085
"246","1/17/2015",59,3,56,5.35714285714286
"247","1/17/2016",121,3,118,2.54237288135593
"248","1/17/2017",69,3,66,4.54545454545455
"249","1/17/2018",76,2,74,2.7027027027027
"250","1/17/2019",69,2,67,2.98507462686567
"251","1/17/2020",61,2,59,3.38983050847458
"252","1/17/2021",130,6,124,4.83870967741935
"253","1/18/1994",71,1,70,1.42857142857143
"254","1/18/1995",72,0,72,0
"255","1/18/1996",65,0,65,0
"256","1/18/1997",63,0,63,0
"257","1/18/1998",149,8,141,5.67375886524823
"258","1/18/1999",73,1,72,1.38888888888889
"259","1/18/2000",69,3,66,4.54545454545455
"260","1/18/2001",67,2,65,3.07692307692308
"261","1/18/2002",62,6,56,10.7142857142857
"262","1/18/2003",67,2,65,3.07692307692308
"263","1/18/2004",126,2,124,1.61290322580645
"264","1/18/2005",76,0,76,0
"265","1/18/2006",70,2,68,2.94117647058824
"266","1/18/2007",65,0,65,0
"267","1/18/2008",60,3,57,5.26315789473684
"268","1/18/2009",128,3,125,2.4
"269","1/18/2010",72,0,72,0
"270","1/18/2011",76,0,76,0
"271","1/18/2012",74,2,72,2.77777777777778
"272","1/18/2013",63,7,56,12.5
"273","1/18/2014",63,6,57,10.5263157894737
"274","1/18/2015",128,3,125,2.4
"275","1/18/2016",70,0,70,0
"276","1/18/2017",71,1,70,1.42857142857143
"277","1/18/2018",67,4,63,6.34920634920635
"278","1/18/2019",64,7,57,12.280701754386
"279","1/18/2020",54,2,52,3.84615384615385
"280","1/18/2021",73,0,73,0
"281","1/19/1994",71,1,70,1.42857142857143
"282","1/19/1995",70,1,69,1.44927536231884
"283","1/19/1996",63,0,63,0
"284","1/19/1997",127,8,119,6.72268907563025
"285","1/19/1998",77,0,77,0
"286","1/19/1999",70,0,70,0
"287","1/19/2000",77,1,76,1.31578947368421
"288","1/19/2001",46,2,44,4.54545454545455
"289","1/19/2002",62,6,56,10.7142857142857
"290","1/19/2003",126,4,122,3.27868852459016
"291","1/19/2004",73,2,71,2.8169014084507
"292","1/19/2005",68,3,65,4.61538461538462
"293","1/19/2006",66,2,64,3.125
"294","1/19/2007",63,1,62,1.61290322580645
"295","1/19/2008",59,6,53,11.3207547169811
"296","1/19/2009",74,1,73,1.36986301369863
"297","1/19/2010",73,0,73,0
"298","1/19/2011",72,1,71,1.40845070422535
"299","1/19/2012",67,2,65,3.07692307692308
"300","1/19/2013",64,3,61,4.91803278688525
"301","1/19/2014",127,3,124,2.41935483870968
"302","1/19/2015",75,1,74,1.35135135135135
"303","1/19/2016",61,2,59,3.38983050847458
"304","1/19/2017",63,2,61,3.27868852459016
"305","1/19/2018",65,5,60,8.33333333333333
"306","1/19/2019",59,4,55,7.27272727272727
"307","1/19/2020",127,3,124,2.41935483870968
"308","1/19/2021",74,3,71,4.22535211267606
"309","1/2/1994",154,13,141,9.21985815602837
"310","1/2/1995",76,0,76,0
"311","1/2/1996",76,0,76,0
"312","1/2/1997",69,1,68,1.47058823529412
"313","1/2/1998",63,1,62,1.61290322580645
"314","1/2/1999",64,4,60,6.66666666666667
"315","1/2/2000",126,3,123,2.4390243902439
"316","1/2/2001",75,0,75,0
"317","1/2/2002",74,1,73,1.36986301369863
"318","1/2/2003",72,3,69,4.34782608695652
"319","1/2/2004",64,3,61,4.91803278688525
"320","1/2/2005",130,2,128,1.5625
"321","1/2/2006",67,0,67,0
"322","1/2/2007",72,2,70,2.85714285714286
"323","1/2/2008",75,2,73,2.73972602739726
"324","1/2/2009",66,6,60,10
"325","1/2/2010",44,3,41,7.31707317073171
"326","1/2/2011",131,7,124,5.64516129032258
"327","1/2/2012",74,0,74,0
"328","1/2/2013",76,3,73,4.10958904109589
"329","1/2/2014",65,1,64,1.5625
"330","1/2/2015",59,7,52,13.4615384615385
"331","1/2/2016",65,5,60,8.33333333333333
"332","1/2/2017",72,0,72,0
"333","1/2/2018",72,1,71,1.40845070422535
"334","1/2/2019",71,2,69,2.89855072463768
"335","1/2/2020",72,1,71,1.40845070422535
"336","1/2/2021",61,6,55,10.9090909090909
"337","1/20/1994",68,2,66,3.03030303030303
"338","1/20/1995",63,2,61,3.27868852459016
"339","1/20/1996",56,0,56,0
"340","1/20/1997",77,0,77,0
"341","1/20/1998",73,0,73,0
"342","1/20/1999",73,1,72,1.38888888888889
"343","1/20/2000",72,3,69,4.34782608695652
"344","1/20/2001",58,8,50,16
"345","1/20/2002",126,8,118,6.77966101694915
"346","1/20/2003",69,2,67,2.98507462686567
"347","1/20/2004",74,0,74,0
"348","1/20/2005",73,2,71,2.8169014084507
"349","1/20/2006",66,3,63,4.76190476190476
"350","1/20/2007",48,2,46,4.34782608695652
"351","1/20/2008",121,4,117,3.41880341880342
"352","1/20/2009",69,1,68,1.47058823529412
"353","1/20/2010",70,2,68,2.94117647058824
